Número de Incendio,Clave del incendio,Grados,Minutos,Segundos,Grados,Minutos,Segundos,Clave municipio,Estado,Municipio,Predio,Causa,Fecha Inicio,Fecha Termino,Mes Acontecimiento,Duración días,Tipo de incendio,Tipo Vegetacion,Tipo Impacto,Arbolado Adulto,Renuevo,Arbustivo,Herbaceo,Hojarasca,Suelo Organico,Total Hectareas,Tamaño,Deteccion,Llegada,Duracion HMS,Duracion H,Costos MXN,Superficie Salvada,CO2 emitido,CO2 Evito emitir,Region
738,17-15-0738,19,47,36.5,99,28,53.8,26,México,Chapa de Mota,Propiedad sr. Alcantara,FUMADORES,01/04/2017,01/04/2017,abril,1 Día,Superficial,Bosque de Encino - BQ,IMPACTO MÍNIMO,0,0,1,1,0,0,2,0 a 5 Hectáreas,00:05:00,00:25:00,00:35:00,0.58,3117,30.48,62.92,959,Centro
1062,17-15-1062,19,46,40,99,15,12,95,México,Tepotzotlán,Coyotepec,INTENCIONAL,20/04/2017,20/04/2017,abril,1 Día,Superficial,Bosque de Pino - BP,IMPACTO MÍNIMO,0,0,0,1,0,0,1,0 a 5 Hectáreas,00:05:00,00:15:00,00:35:00,0.58,1136,7.62,26.62,405.71,Centro
27,17-19-0027,25,41,59.16,100,40,37.8,18,Nuevo León,García,Ejido Los Fierros,OTRAS CAUSAS,26/04/2017,27/04/2017,abril,2 a 3 Días,Superficial,Matorral Submontano - MSM,IMPACTO MÍNIMO,0,0,22,6,0,0,28,21 a 50 Hectáreas,00:15:00,00:25:00,00:40:00,0.67,438908.88,424.7,622.54,9488.69,Noreste
222,17-14-0222,20,22,26.5,104,36,56,58,Jalisco,Mascota,El Escarbadero,FOGATAS,09/04/2017,10/04/2017,abril,2 a 3 Días,Superficial,Bosque de Encino - BQ,IMPACTO MODERADO,10,4,0,10,97,0,121,Mayor a 100 Hectáreas,00:10:00,00:23:00,00:40:00,0.67,23176.5,1842.76,3488.81,57971.46,Occidente
1089,17-15-1089,19,20,58.9,100,14,42,32,México,Donato Guerra,Comunal San Juan Xoconusco,OTRAS CAUSAS,22/04/2017,22/04/2017,abril,1 Día,Superficial,Bosque de Pino-Encino - BPQ,IMPACTO MÍNIMO,0,0,1,0,0,0,1,0 a 5 Hectáreas,00:10:00,01:10:00,00:40:00,0.67,9400,15.24,35.78,545.42,Centro
949,17-15-0949,19,45,7,100,3,18.6,74,México,San Felipe del Progreso,Propiedad Luis Nieves,FOGATAS,10/04/2017,10/04/2017,abril,1 Día,Superficial,Bosque de Pino-Encino - BPQ,IMPACTO MÍNIMO,0,0,1,0,0,0,1,0 a 5 Hectáreas,00:05:00,01:05:00,00:40:00,0.67,6999,15.24,35.78,545.42,Centro
447,17-16-0447,19,40,24.2,100,34,54.9,34,Michoacán,Hidalgo,Comunidad Indigena Rincon de Cedeños,ACTIVIDADES AGROPECUARIAS,16/04/2017,16/04/2017,abril,1 Día,Superficial,Bosque de Pino-Encino - BPQ,IMPACTO MÍNIMO,0,0,0,0,0,0,0,0 a 5 Hectáreas,00:10:00,00:20:00,00:40:00,0.67,4999.95,5.03,11.81,179.99,Occidente
846,17-15-0846,19,26,44.08,100,3,2.77,114,México,Villa Victoria,Ejido San Pedro del Rincon,INTENCIONAL,04/04/2017,04/04/2017,abril,1 Día,Superficial,Bosque de Pino - BP,IMPACTO MÍNIMO,0,1,1,0,0,0,1,0 a 5 Hectáreas,00:10:00,00:40:00,00:40:00,0.67,3587,15.24,53.24,811.43,Centro
1083,17-15-1083,19,24,30.99,100,8,19.94,111,México,Villa de Allende,Ejido Sabana de San Geronimo,INTENCIONAL,22/04/2017,22/04/2017,abril,1 Día,Superficial,Bosque de Pino - BP,IMPACTO MÍNIMO,0,0,1,0,0,0,1,0 a 5 Hectáreas,00:10:00,00:30:00,00:40:00,0.67,3347,15.24,53.24,811.43,Centro
1188,17-15-1188,19,41,53.1,99,36,49.8,56,México,Morelos,Ejido Santa Clara,ACTIVIDADES AGROPECUARIAS,28/04/2017,28/04/2017,abril,1 Día,Superficial,Bosque de Pino-Encino - BPQ,IMPACTO MÍNIMO,0,0,1,0,0,0,1,0 a 5 Hectáreas,00:05:00,00:20:00,00:40:00,0.67,3131,15.24,35.78,545.42,Centro
278,17-16-0278,19,37,16.9,102,6,32.4,65,Michoacán,Paracho,C.I. Pomacuaran,ACTIVIDADES AGROPECUARIAS,02/04/2017,02/04/2017,abril,1 Día,Superficial,Bosque de Encino-Pino - BQP,IMPACTO MÍNIMO,0,0,0,1,0,0,2,0 a 5 Hectáreas,00:05:00,00:15:00,00:40:00,0.67,2860,22.86,53.68,818.13,Occidente
378,17-16-0378,19,39,45.58,102,5,47.23,65,Michoacán,Paracho,C.I. Ahuiran ,ACTIVIDADES AGROPECUARIAS,07/04/2017,07/04/2017,abril,1 Día,Superficial,Bosque de Encino - BQ,IMPACTO MÍNIMO,0,0,0,1,0,0,1,0 a 5 Hectáreas,00:05:00,00:10:00,00:40:00,0.67,2700,15.24,31.46,479.5,Occidente
